Source,Target,Label,Id,Type
police, search, began,786,
seized antiquities unit, collection, impounded,787,
special investigation team, baul singer, arrested,788,
toulouse caravaggio painting, toulouse caravaggio painting, make,789,
locals, slogans, chanted,790,
district police office, hundreds of police personnel in the area, deployed,791,
ministry, investigation, started,792,
renowned chandannath temple, renowned chandannath temple significance, upset by,793,
head, crest, had,794,
dattatreya idol, around 30 kg, weighs,795,
theft, students, shocked,796,
nid, fir, filed,797,
nakashima, city, reached,798,
museum, skull, bought,799,
police, damage, investigating,800,
sort, real threat, poses,801,
at least two, city level protection status, enjoyed,802,
staff, money, say,803,
humphries, artwork, stolen,804,
art student romany fairall, artwork, had,805,
incident, rise, give,806,
museum employee, video, reported,807,
collection, superlative examples, comprises,808,
antiquities minister khaled anany, investigations, ordered,809,
commerce sites, sale, prohibited,810,
virginia holocaust museum, oral testimonies, seeking,811,
stolen items, distinctive turquoise persian plate, include,812,
gerald garrett, one count, facing,813,
gerald garrett, five years, spend,814,
james, value, estimates,815,
pablos, piece, wants,816,
antiquities department, important cypriot antiquity, identified,817,
amateur divers, long lost wrecks, discovered,818,
indonesian foreign ministry spokesman armanatha nassir, possible arrangements, rule out,819,
3 several paintings, estimated value, have,820,
police, police, found,821,
special team, 35 sovereigns, seized,822,
mareeswaran, gold, pledged,823,
shattered ruins, different things, say,824,
recommended reading, 10 record breaking lots, see,825,
2016 parish, work, purchased,826,
sumida hokusai museum, hokusai woodblock prints, feature,827,
passage, permits, requires,828,
federal authorization, compliance, requires,829,
expansion, ancient archaeological sites, destroying,830,
stand, protests, inspired,831,
pipeline, site, harm,832,
nhpa, preservation, guarantee,833,
native americans, little input, had,834,
archaeologists, buried villages, search out,835,
standing rock representatives, u.s, showed,836,
army corps, important cultural resources, staff,837,
hopi elder harold polingyumptewa," s{\\""o}{\\""o}y{\\""o}pi root", digs up,838,
items, turquoise persian plate, include,839,
graffiti vandal, scourge, proving,840,
china, china collectors, work,841,
overseas u.s collectors, collection, turned,842,
mr cornish, 13 years, spent,843,
work, nostalgic pictures, involved,844,
degenerate art unit, nazis campaign, investigates,845,
berlin research unit, research, publishes,846,
art, challenging counter - narrative, included,847,
mr, ceremony, led,848,
gallery co - director tuva trondsdatter, artnet news, told,849,
instagram posts, post, include,850,
sonic youth leader gordon, authorship information, included,851,
gallery, book, published,852,
mcnatt complaint, number, outlines,853,
boone, claims, denied,854,
harry potter fans,"4,000-year old megalithic tomb", defaced,855,
thief, four original canvas paintings, nabbed,856,
safeguarding endangered cultural heritage conference, more than 40 countries, brings,857,
gweagal shield, single conspicuous hole, bares,858,
kelly, different perspective, has,859,
prosecutors, investigations, filed,860,
legal aspects unesco, convention, adopted,861,
india, india, had,862,
states, proposed laws, having,863,
central government, national commission, proposed,864,
senior representatives, local meeting, held,865,
hue city, abandoned sculptures, move,866,
thuy tien tourist resort, operations, installed at,867,
hue city department, information, post,868,
husband, husband wife fakes, sold,869,
lee ufan forgery scandal, south korean art scene, rocked,870,
epic, key events, depicts,871,
conservators, plans, criticised,872,
nazis, prague, rolled up,873,
present political body, attention, paying,874,
spanish tourists, local police, alerted,875,
bernini elephant, romans, hurts,876,
museum, attribution, disputed,877,
works, consistent style, have,878,
"3,000-year old bronze wine vessel", large number, drew,879,
workers, fanglei, inspect,880,
group, bronze, acquired,881,
the past five years, increase, seen,882,
the 12th century baijnath temples, tourists, baijnath,883,
police, bizarre love triangle art heist, solved,884,
new york collector nicholas, art, kept,885,
artwork, work, included,886,
colleagues, couple, tavcar,887,
officers, couple, followed,888,
christopher griffin local projects, murals, include,889,
sunni islamist group, remains, controls,890,
militants, 10 colossal statues, destroyed,891,
experiences, background, formed,892,
collombert, collombert origin, traced,893,
subsequent footage, massive explosion, showed,894,
iraqi workers, floor, mop,895,
huge defensive mud brick wall vast palaces, archaeologists, drawn,896,
archaeologists, collection, unearthed,897,
experts, treasure, described,898,
main branch," more than 655,000 chinese artefacts", boasts,899,
israeli authorities, arson, reported,900,
fire, archaeological damage, caused,901,
national park, old city, surrounds,902,
today artwork, wall, ripped off,903,
foreign affairs ministry, audit service, informed,904,
park, pieces, created,905,
members, courtesy visit, adeyemi,906,
abel azcona, more than 240 consecrated hosts, stole,907,
judge, case, closed,908,
judge, consecrated stolen hosts, described,909,
exeter, crew, had,910,
destroyer, torpedo, fired,911,
scavengers, wrecks, located,912,
recreational diving school, new straits, told,913,
villager, body, saw,914,
visitor, picture, takes,915,
people, answer, received,916,
court, case, accepted,917,
defendants, responding files, submit,918,
family, statue, claim,919,
ubc museum, artworks, includes,920,
approach, purpose, serves,921,
art history lovers, access, have,922,
comedic geniuses, fry, spike,923,
young, diplomatic ranks, joined,924,
elgin, second wife, married,925,
european agency, ukrainian prosecutor, made,926,
incident, place, took,927,
canadian art historian, welsh ovcharov vincent van gogh, bogomila,928,
welsh ovcharov, cbc news, told,929,
van gogh, van gogh, shot,930,
welsh ovcharov, detailed analysis, provides,931,
15 november 2016 response, sketchbook, found,932,
experts, opinion, gave,933,
experts, style, examined,934,
drawing, bridgeman house, shows,935,
lost arles sketchbook, numerous mistakes, contains,936,
ginouxs, single van gogh drawing, own,937,
van gogh museum, information, included in,938,
senior source, significant advances, reported,939,
mumbai couple dinesh, manifold, expanded,940,
professionals, professionals, starting,941,
louvre museum, heritage artifacts, host,942,
association, risks, highlights,943,
association, daily updates, provides,944,
one project, regular assessments, conducts,945,
ali othman, al monitor, told,946,
un cultural body, act, described,947,
search,"1,145 clay pots", uncovered,948,
authorities, 22 copper coins, found,949,
question, attention, protected as,950,
secretary, moon house, visited,951,
anasazi, small villages, built,952,
police, number, issued,953,
police, 22 bronze coins, located},954,
