Source,Target,Label,Id,Type
northampton borough council, ancient egyptian statue, accused of,190,
members, northampton sekhemka, examine,191,
public gallery staff, northampton sekhemka, examine,192,
barack obama, law, used,193,
europe wide police operation," more than 3,500 stolen artworks", recovered,194,
recovered items, marble tombstone, included,195,
coin collector board, 40 coins, shows,196,
europe wide police operation, place, took,197,
interpol, interpol database, europol co-ordinated efforts,198,
world customs organisation, world customs organisation, contributed,199,
national trust, portraits, included,200,
legendary beast jesus restoration, legendary beast jesus dedicated arts center, recommended,201,
david, head, contemplating,202,
peter doige, aris title @aris_argogroup, courtesy,203,
militants fanaticism, one of the most important archaeological sites in the middle east, devastated,204,
iraqi archaeologist, remains, examines,205,
140-foot high ziggurat, gaze, arrested,206,
militants, winged bulls, dismantled,207,
tombs, troves, yielded,208,
government, priorities, has,209,
salih, two shiite militiamen, questioned,210,
artefacts, persian manuscript, include,211,
detectives, stolen items, recovered,212,
memo, object, described,213,
memo, memo, said,214,
"(""\\o""", object, described,215,
levitan," about 1,000 paintings", completed,216,
judge, judge, abused,217,
lord elgin, parthenon sculptures, transported,218,
artist, bathroom walls, painted,219,
montreal mural festival, major work, commissioned,220,
people, bonfire," ""s""",221,
idea, different meaning, takes on,222,
zilon, backdrop, painted,223,
district," more than $709,000 worth", owns,224,
district, district options, weighing,225,
bedford old bedford village, national attention, gained,226,
post, post way, making,227,
obama, gold butte national monument, set,228,
gold butte, abundant rock art, includes,229,
orrin hatch, obama declaration, called,230,
attack, intent, exceeds,231,
inter - tribal coalition," ""wednesdays announcement""", applauded,232,
residents, monument push, opposed,233,
27-million acre network, monuments, includes,234,
monument designation, southern utahns, rankles,235,
sitla, roughly $50 million, awarded,236,
peruvian embassy, eight peruvian pre-hispanic relics, recovered,237,
recovery, importance, reflects,238,
parents, parents children, recognise,239,
weighty forgery scandals, korean art world, swept,240,
prosecution, end, puts,241,
state, complete collection, represents,242,
abbey, female religious order, housed,243,
peter beer, speculation, dismissed,244,
munich freising vicar general msgr, ap, told,245,
nepal police, new lead, found,246,
arrested man, involvement, pointed out,247,
police, manhunt, intensified,248,
temple, statues, had,249,
police, case, registered,250,
manickavel, hindu, told,251,
cib team, sudan ratna shakya, arrested,252,
police, bilaxmi sedhai, arrested,253,
police, kalu lama, arrested,254,
jean paul, law, studied,255,
family foundation, numerous loan exhibitions, organises,256,
painter sculptor lee ufan, variety, created,257,
gallery, gallery, sold,258,
owners, owners, checking,259,
2016 lucas, elder, cranach,260,
photo, multnomah county sheriff office, courtesy,261,
royal museums, six locations, comprise,262,
latest development, max, brought,263,
crescent city, crescent city share, had,264,
latest alleged incident, hefty line, been among,265,
lether, guesthouse, rented,266,
aspiring art collector, aspiring art collector, found,267,
opportunistic outlaw,"250,000 painting", removed,268,
sensabaugh, plywood wall, erected,269,
umbrella girl, umbrella girl, continues,270,
"(""egypts ministry""", limestone relief, received from,271,
abdel-gawad, ahram, told,272,
hsi agents, child sarcophagus, seized,273,
agents, panel, returned,274,
ray, cultural property art antiquities program, oversees,275,
team, theft, investigates,276,
ice," almost 8,000 items", returned,277,
agents work, two criminal convictions, led to,278,
looters, layering, a fragment of,279,
print, ufc fighter conor mcgregor, shows,280,
actress, mccaul, aoibheann,281,
"(""rory oneill""", nasty mail, received,282,
hildesheimer, suicide, committed,283,
bill, skeleton, transfers,284,
national commission, office, have,285,
klaas muller, work, bought,286,
katharine cree, jacobean architecture, is,287,
1929 photograph, throckmorton monument,a 1793 engraving,288,
history, history, repeating,289,
ukrainian president, tribute, treasures of,290,
diplomatic bureaucracy, official handover, delayed,291,
court, four of the 12 suspects for the theft to prison terms of five to ten years on 5 december, sentenced,292,
two other suspects, reduced sentences, received,293,
