subject,relation,object,subject_type,object_type
spanish,pillaged,mexico,NOUN_CHUNK,GPE
political problems,delayed,scientific study,NOUN_CHUNK,NOUN_CHUNK
similar fate,befell,bronze age settlements,NOUN_CHUNK,NOUN_CHUNK
popularity,triggered,wave,NOUN_CHUNK,NOUN_CHUNK
recent antiquities auctions,drew,standing room crowds,NOUN_CHUNK,NOUN_CHUNK
items,carry,vague references,NOUN_CHUNK,NOUN_CHUNK
largest database,lists,"more than 100,000 stolen items",NOUN_CHUNK,CARDINAL
insurance company,wants,restitution,NOUN_CHUNK,NOUN_CHUNK
eisenberg,purchased,vase,NOUN_CHUNK,NOUN_CHUNK
people,make up,collection histories,NOUN_CHUNK,NOUN_CHUNK
united states,ratified,treaty,NOUN_CHUNK,NOUN_CHUNK
united states,concluded,pacts,NOUN_CHUNK,NOUN_CHUNK
koch,acquired,"2,400-year old coins",ORG,NOUN_CHUNK
elizabeth landt staff map map,shows,location,NOUN_CHUNK,NOUN_CHUNK
elizabeth landt staff map map,shows,route,NOUN_CHUNK,NOUN_CHUNK
large knob,represents,navel,NOUN_CHUNK,NOUN_CHUNK
andrew,graphic,20-year odyssey,NOUN_CHUNK,NOUN_CHUNK
cammarata,shows,phiale,NOUN_CHUNK,NOUN_CHUNK
november 1991 veres,brings,phiale,DATE,NOUN_CHUNK
december 1991 veres,acquires,phiale,DATE,NOUN_CHUNK
1991 haber,takes,possession,DATE,NOUN_CHUNK
customs declaration,puts,customs declaration value,NOUN_CHUNK,NOUN_CHUNK
1992 steinhardt,displays,steinhardt phiale1992 steinhardt,DATE,NOUN_CHUNK
customs agents,seize,steinhardt phiale,NOUN_CHUNK,NOUN_CHUNK
italian authorities,arrest,six people,NOUN_CHUNK,CARDINAL
authorities,confiscate,"more than 10,000 artifacts",NOUN_CHUNK,CARDINAL
small ceremony,welcomed,god,NOUN_CHUNK,NOUN_CHUNK
unknown american collector,returned,three sculptures,NOUN_CHUNK,CARDINAL
one event,changed,pattern,CARDINAL,NOUN_CHUNK
gods,published in,country,NOUN_CHUNK,NOUN_CHUNK
american collector,remembers,the day,NOUN_CHUNK,DATE
swiss high court,returned,62-year old antiquities smuggler edip telli,NOUN_CHUNK,NOUN_CHUNK
tellis,took on,nationality,NOUN_CHUNK,NOUN_CHUNK
swiss court,examined,file,NOUN_CHUNK,NOUN_CHUNK
thieves,stole,jade figures,NOUN_CHUNK,NOUN_CHUNK
burglaries,has,advantage,NOUN_CHUNK,NOUN_CHUNK
national geographic channel,pulled,early publicity materials,NOUN_CHUNK,NOUN_CHUNK
critics,found,posting,NOUN_CHUNK,NOUN_CHUNK
press director margaret,told,artnet news,NOUN_CHUNK,NOUN_CHUNK
wall label,lists,eight,NOUN_CHUNK,CARDINAL
scrupulous buyer,purchase,painting,NOUN_CHUNK,NOUN_CHUNK
security guard,told,new york times,NOUN_CHUNK,NOUN_CHUNK
police,arrested,siva,NOUN_CHUNK,NOUN_CHUNK
police,arrested,siva,NOUN_CHUNK,NOUN_CHUNK
police,lodged in,siva,NOUN_CHUNK,NOUN_CHUNK
india,make,clear case,GPE,NOUN_CHUNK
toledo museum,has,stone sculpture,NOUN_CHUNK,NOUN_CHUNK
helen mirren latest film,tells,true story,NOUN_CHUNK,NOUN_CHUNK
story,mitigate,fact,NOUN_CHUNK,NOUN_CHUNK
czernin findings,boosted,niece maria altmann claims,NOUN_CHUNK,NOUN_CHUNK
arbitration panel,awarded,painting,NOUN_CHUNK,NOUN_CHUNK
niece maria altmann,sell,portrait,NOUN_CHUNK,NOUN_CHUNK
moma provenance research project,provides,list,NOUN_CHUNK,NOUN_CHUNK
norton simon museum,provides,list,NOUN_CHUNK,NOUN_CHUNK
artisans,put up,tools,NOUN_CHUNK,NOUN_CHUNK
rago,following,current laws,NOUN_CHUNK,NOUN_CHUNK
jessica metcalfe,draws,connection,PERSON,NOUN_CHUNK
rhapsody,tells,story,NOUN_CHUNK,NOUN_CHUNK
war,many us citizens,little,NOUN_CHUNK,NOUN_CHUNK
government,relocated,"about 120,000 japanese americans",NOUN_CHUNK,CARDINAL
three persons,carrying,precious ashtadhatu idols,CARDINAL,NOUN_CHUNK
thieves,stole,ashtadhatu idols,NOUN_CHUNK,NOUN_CHUNK
tenth judicial district prosecutor thomas deen,charged,elizabeth p. thurman,ORDINAL,PERSON
charges,follow,lengthy state police investigation,NOUN_CHUNK,NOUN_CHUNK
auditors,report,"182,446",NOUN_CHUNK,MONEY
elegant drawings,adorned,margins,NOUN_CHUNK,NOUN_CHUNK
