subject,relation,object,subject_type,object_type
advertising inread,had,total confidence,NOUN_CHUNK,NOUN_CHUNK
intimate works,include,portraits,NOUN_CHUNK,NOUN_CHUNK
napoleon,assembled,napoleon louvre bound stash,NOUN_CHUNK,NOUN_CHUNK
1811 decree,ordered,transfer,NOUN_CHUNK,NOUN_CHUNK
opponents,accuse,director,NOUN_CHUNK,NOUN_CHUNK
legislative bill,contains,exception,NOUN_CHUNK,NOUN_CHUNK
lot,have,money,NOUN_CHUNK,NOUN_CHUNK
lot,have,money,NOUN_CHUNK,NOUN_CHUNK
harp attorney pierre,provided,times,NOUN_CHUNK,NOUN_CHUNK
aamd programs,include,international professionals,NOUN_CHUNK,NOUN_CHUNK
organization,supported,legislation,NOUN_CHUNK,NOUN_CHUNK
difanis,return,multiple phone calls,NOUN_CHUNK,NOUN_CHUNK
russia,embargoed,loans,GPE,NOUN_CHUNK
senator pat leahy,had,principled opposition,NOUN_CHUNK,NOUN_CHUNK
communist socialist nations,had,problem,NOUN_CHUNK,NOUN_CHUNK
schumer,brought,new bill,NOUN_CHUNK,NOUN_CHUNK
old,designed by,diamond center stone,NOUN_CHUNK,NOUN_CHUNK
william randolph hearst,gave,william hearst,PERSON,NOUN_CHUNK
platinum diamond ring,contains,6 ct,NOUN_CHUNK,NOUN_CHUNK
van cleef & arpels platinum 18k gold necklace,has,fleur de lis center,NOUN_CHUNK,NOUN_CHUNK
william randolph,purchased,rare example,PERSON,NOUN_CHUNK
new orleans police,booked,courtney lether,NOUN_CHUNK,NOUN_CHUNK
estimated value,make,estimated value,NOUN_CHUNK,NOUN_CHUNK
artist widow,told,police lether,NOUN_CHUNK,NOUN_CHUNK
thieves,stole,an estimated $500 million worth,NOUN_CHUNK,MONEY
montreal's max stern restitution project,recovered,two dutch old masters paintings,GPE,CARDINAL
passage,complicated,return,NOUN_CHUNK,NOUN_CHUNK
stock,mark,recovery,NOUN_CHUNK,NOUN_CHUNK
week restitution,marks,stern estate 14th 15th recoveries,NOUN_CHUNK,NOUN_CHUNK
hawai   ªi national parks,fielding,returned items,NOUN_CHUNK,NOUN_CHUNK
local post offices,receive,stolen stones,NOUN_CHUNK,NOUN_CHUNK
hawaiian islands,saw,8.6 million visitors,NOUN_CHUNK,CARDINAL
germany federal crime office,(image,landscape,NOUN_CHUNK,NOUN_CHUNK
latest restitutions,bring,total number,NOUN_CHUNK,NOUN_CHUNK
email address,enter,email address,NOUN_CHUNK,NOUN_CHUNK
malian authorities,unveiled,red list,NOUN_CHUNK,NOUN_CHUNK
places,have,fabled history,NOUN_CHUNK,NOUN_CHUNK
san francisco home,hit,market,NOUN_CHUNK,NOUN_CHUNK
lucky luke brugnara,serving,seven year sentence,NOUN_CHUNK,NOUN_CHUNK
ministry,received on,two islamic-era egyptian lamps,NOUN_CHUNK,CARDINAL
ministry,received,two islamic-era egyptian lamps,NOUN_CHUNK,CARDINAL
abdel-gawad,told,ahram,PERSON,NOUN_CHUNK
thieves,replaced,thieves,NOUN_CHUNK,NOUN_CHUNK
unesco office,led,rapid assessment mission,NOUN_CHUNK,NOUN_CHUNK
nazis,taken to,family members gallery,NOUN_CHUNK,NOUN_CHUNK
thief,swipes,pricey piece,NOUN_CHUNK,NOUN_CHUNK
prominent business executive,gave,gift,NOUN_CHUNK,NOUN_CHUNK
items,included,sword scabbard ukrainians,NOUN_CHUNK,NOUN_CHUNK
crimean museums,have,three months,NOUN_CHUNK,DATE
rarities,command,hundreds of thousands,NOUN_CHUNK,CARDINAL
yesterday's raid,targeted,known members,DATE,NOUN_CHUNK
libation cups,drinking,vessels,NOUN_CHUNK,NOUN_CHUNK
authorities,monitoring,notorious rathkeale rovers criminal traveller gang,NOUN_CHUNK,NOUN_CHUNK
fbi,valued,two vincent van gogh paintings,NOUN_CHUNK,CARDINAL
garrett,took,painting,PERSON,NOUN_CHUNK
jefferson county grand jury,indicted,garrett,NOUN_CHUNK,PERSON
u.s. marshals,arrested,garrett,GPE,PERSON
event,took,place,NOUN_CHUNK,NOUN_CHUNK
museum security,stopped,fourth 2016 performance,NOUN_CHUNK,NOUN_CHUNK
court,deliver,court verdict,NOUN_CHUNK,NOUN_CHUNK
festival,took,place,NOUN_CHUNK,NOUN_CHUNK
artists,use,tented booths,NOUN_CHUNK,NOUN_CHUNK
isis fighters,play,ancient city,NOUN_CHUNK,NOUN_CHUNK
facebook twitter google plusembed isis fighters,destroy,ancient city,NOUN_CHUNK,NOUN_CHUNK
recent visit,revealed,devastating scale,NOUN_CHUNK,NOUN_CHUNK
yuka tachibana nbc news iraq,lost,thousands of precious objects from yuka tachibana / nbc news iraq national museum and other archaeological sites,NOUN_CHUNK,CARDINAL
isis,damages,iraq hatra archaeological site,NOUN_CHUNK,NOUN_CHUNK
department,filed,complaint,NOUN_CHUNK,NOUN_CHUNK
district court,seeking,forfeiture,NOUN_CHUNK,NOUN_CHUNK
islamic state,recaptured,ancient syrian city,NOUN_CHUNK,NOUN_CHUNK
u.s department,seized,stunning sarcophagus,NOUN_CHUNK,NOUN_CHUNK
artifact,make,artifact,NOUN_CHUNK,NOUN_CHUNK
dozen empires,ruled,peninsula,NOUN_CHUNK,NOUN_CHUNK
dozen empires,ruled,peninsula,NOUN_CHUNK,NOUN_CHUNK
history,bridges,modern governments,NOUN_CHUNK,NOUN_CHUNK
artifacts,include,ceremonial gold helmet,NOUN_CHUNK,NOUN_CHUNK
claude cassirer,told,friends,NOUN_CHUNK,NOUN_CHUNK
virtual reality,changing,news watch,NOUN_CHUNK,NOUN_CHUNK
new york gallery dealer,sold,extensive art collection,NOUN_CHUNK,NOUN_CHUNK
baron receipt,said,virtually,NOUN_CHUNK,NOUN_CHUNK
museum,returned,numerous antiquities,NOUN_CHUNK,NOUN_CHUNK
cassirer family,found,museum,NOUN_CHUNK,NOUN_CHUNK
law,affords,breathing room,NOUN_CHUNK,NOUN_CHUNK
common law fraud,show,damages,NOUN_CHUNK,NOUN_CHUNK
omissions,form,basis,NOUN_CHUNK,NOUN_CHUNK
baldwin,have,written contract,ORG,NOUN_CHUNK
buyers,allege,breach,NOUN_CHUNK,NOUN_CHUNK
illegal excavation,caused,damage,NOUN_CHUNK,NOUN_CHUNK
hollowed burial caves,contain,items,NOUN_CHUNK,NOUN_CHUNK
suspects,face,year prison sentence,NOUN_CHUNK,NOUN_CHUNK
islamic state fighters,recaptured,site,NOUN_CHUNK,NOUN_CHUNK
police,made,arrest,NOUN_CHUNK,NOUN_CHUNK
stolen items,included,world war ii nazi germany war medals,NOUN_CHUNK,NOUN_CHUNK
spanish government,acquired,thyssen bornemisza collection,NOUN_CHUNK,NOUN_CHUNK
sources,christie's bought collectrium in,price,NOUN_CHUNK,NOUN_CHUNK
concordia university,had,amicable discussions,NOUN_CHUNK,NOUN_CHUNK
max,opened,dominion gallery,NOUN_CHUNK,NOUN_CHUNK
max,have,children,NOUN_CHUNK,NOUN_CHUNK
people,are,people art,NOUN_CHUNK,NOUN_CHUNK
carmel police department,continues,carmel police department investigation,NOUN_CHUNK,NOUN_CHUNK
work,include,pencil sketch,NOUN_CHUNK,NOUN_CHUNK
bill,exempts,objects,NOUN_CHUNK,NOUN_CHUNK
ohio collector scott mueller,bought,noland log cabin,NOUN_CHUNK,NOUN_CHUNK
manhattan federal court,dismissed,collector claims,NOUN_CHUNK,NOUN_CHUNK
fhm exhibition,documents,ways,NOUN_CHUNK,NOUN_CHUNK
modern tribes,published,findings,NOUN_CHUNK,NOUN_CHUNK
dubai,visit,new home,NOUN_CHUNK,NOUN_CHUNK
police,recovered,shivlinga,NOUN_CHUNK,NOUN_CHUNK
prices,fueled,underground market demand,NOUN_CHUNK,NOUN_CHUNK
historic agreement,marks,called cultural property agreement,NOUN_CHUNK,NOUN_CHUNK
egypt,shoukry,egyptian sarcophagus,NOUN_CHUNK,NORP
u.s. immigration and customs enforcement,repatriated,five illegally smuggled ancient artifacts,GPE,CARDINAL
agency,seeking,international fugitive,NOUN_CHUNK,NOUN_CHUNK
hsi new york,recovered,nesting sarcophagus,NOUN_CHUNK,NOUN_CHUNK
customs border protection officers,seized,shipment,NOUN_CHUNK,NOUN_CHUNK
hsi new york,recovered,nesting sarcophagus,NOUN_CHUNK,NOUN_CHUNK
customs border protection officers,seized,shipment,NOUN_CHUNK,NOUN_CHUNK
inch tall egyptian cat statue,has,specialty,NOUN_CHUNK,NOUN_CHUNK
images,caused,stir,NOUN_CHUNK,NOUN_CHUNK
spokesperson,confirmed on,port,NOUN_CHUNK,NOUN_CHUNK
austrian head,occupied,france,NOUN_CHUNK,GPE
expert appraisers,estimated,market value,NOUN_CHUNK,NOUN_CHUNK
students,had,connection,NOUN_CHUNK,NOUN_CHUNK
somebody,has,paintings,NOUN_CHUNK,NOUN_CHUNK
retailers tjx,asked if,similar responses,NOUN_CHUNK,NOUN_CHUNK
edwards work,posted,watermarked low resolution,NOUN_CHUNK,NOUN_CHUNK
minister,presented at,cim{\'a}n,NOUN_CHUNK,NOUN_CHUNK
egyptian embassy,received,two islamic lamps,NOUN_CHUNK,CARDINAL
enany,expressed,minister,NOUN_CHUNK,NOUN_CHUNK
thieves,replaced,thieves,NOUN_CHUNK,NOUN_CHUNK
stolen sarcophagus,repatriated,three parts,NOUN_CHUNK,CARDINAL
hollande,announced,contribution,NOUN_CHUNK,NOUN_CHUNK
iraqi forces,retook,emirati capital,NORP,NOUN_CHUNK
iraqi forces,found,intricate reliefs,NOUN_CHUNK,NOUN_CHUNK
france,looted,increasingly strong ties,NOUN_CHUNK,NOUN_CHUNK
original music video,features,people,NOUN_CHUNK,NOUN_CHUNK
geers,cites,instances,NOUN_CHUNK,NOUN_CHUNK
otsuka museum,offers,ability,NOUN_CHUNK,NOUN_CHUNK
art lovers,view,paintings,NOUN_CHUNK,NOUN_CHUNK
notable projects,include,sized reproduction,NOUN_CHUNK,NOUN_CHUNK
tutankhamen replica tomb,missing,authentic musty smell,NOUN_CHUNK,NOUN_CHUNK
authentic musty smell,features,digitally restored panel,NOUN_CHUNK,NOUN_CHUNK
otsuka museum,has,limited air conditioning,NOUN_CHUNK,NOUN_CHUNK
otsuka museum,features,copy,NOUN_CHUNK,NOUN_CHUNK
sun,created so,statues,NOUN_CHUNK,NOUN_CHUNK
ramses,lose,ramses beard,NOUN_CHUNK,NOUN_CHUNK
nazis,restituted to,power,NOUN_CHUNK,NOUN_CHUNK
collection,included,works,NOUN_CHUNK,NOUN_CHUNK
mosse,bequeathed,estate,NOUN_CHUNK,NOUN_CHUNK
family,had,share,NOUN_CHUNK,NOUN_CHUNK
prussian cultural heritage foundation,returned,eight works,NOUN_CHUNK,CARDINAL
jewish museum,returned,oil sketch,NOUN_CHUNK,NOUN_CHUNK
family members,filed,lawsuit,NOUN_CHUNK,NOUN_CHUNK
reuters,give,background,NOUN_CHUNK,NOUN_CHUNK
nazi propaganda newspapers,used,flechtheim picture,NOUN_CHUNK,NOUN_CHUNK
nazis,aryanized,control,NOUN_CHUNK,NOUN_CHUNK
flechtheim wife,committed,suicide,NOUN_CHUNK,NOUN_CHUNK
mother,followed,suit,NOUN_CHUNK,NOUN_CHUNK
29 members,embroiled in,letter,CARDINAL,NOUN_CHUNK
bavaria,returned,barely a dozen works,NOUN_CHUNK,CARDINAL
five of ustad bismillah khan's shehnais,gone,shehnais,CARDINAL,NOUN_CHUNK
police,recovered,arms,NOUN_CHUNK,NOUN_CHUNK
bhosale,provide,support technical guidance,NOUN_CHUNK,NOUN_CHUNK
thieves,took,antique nataraja idol,NOUN_CHUNK,NOUN_CHUNK
personnel,reached,spot,NOUN_CHUNK,NOUN_CHUNK
team,visited,spot,NOUN_CHUNK,NOUN_CHUNK
two of his murals,adorn,hallowed corridors,CARDINAL,NOUN_CHUNK
trophies,serve for,purpose,NOUN_CHUNK,NOUN_CHUNK
baba,take,stairs,NOUN_CHUNK,NOUN_CHUNK
museologist vinod daniel,chairs,ausheritage,NOUN_CHUNK,NOUN_CHUNK
museums,have,director,NOUN_CHUNK,NOUN_CHUNK
staff,have,capacity,NOUN_CHUNK,NOUN_CHUNK
museums,have,collection development strategy,NOUN_CHUNK,NOUN_CHUNK
fold,drive,audience,NOUN_CHUNK,NOUN_CHUNK
museums,incorporating,little,NOUN_CHUNK,NOUN_CHUNK
the 10th century temple,lacks,security,DATE,NOUN_CHUNK
frequent thefts,exposed,apathy,NOUN_CHUNK,NOUN_CHUNK
silvestri,ricciardi,twin brother,NOUN_CHUNK,NOUN_CHUNK
thief,fished,painting,NOUN_CHUNK,NOUN_CHUNK
young lady,had,scarf,NOUN_CHUNK,NOUN_CHUNK
media captionclaudia maga,describes,young lady discovery maga,NOUN_CHUNK,NOUN_CHUNK
border police,made,package,NOUN_CHUNK,NOUN_CHUNK
customs border protection,repatriated,page,NOUN_CHUNK,NOUN_CHUNK
today's ceremony,marks,important stepping stone,DATE,NOUN_CHUNK
ice,returned,"more than 7,800 artifacts",NOUN_CHUNK,CARDINAL
forgery,require,latest academic research,NOUN_CHUNK,NOUN_CHUNK
ziad al saad,hailed,archaeological site,PERSON,NOUN_CHUNK
father zerafa,born into,dominican monastic order,NOUN_CHUNK,NOUN_CHUNK
tape,wanted,ransom,NOUN_CHUNK,NOUN_CHUNK
worker,has,small booklet,NOUN_CHUNK,NOUN_CHUNK
police,had,helicopter,NOUN_CHUNK,NOUN_CHUNK
thieves,had,excellent lawyer,NOUN_CHUNK,NOUN_CHUNK
father zerafa,penned,book,NOUN_CHUNK,NOUN_CHUNK
people,launched to,works,NOUN_CHUNK,NOUN_CHUNK
work,asked before,place,NOUN_CHUNK,NOUN_CHUNK
distinctive items,include,sapphire ring,NOUN_CHUNK,NOUN_CHUNK
watch,have,hardcastle,NOUN_CHUNK,NOUN_CHUNK
islamabad,acquired,the site six months ago,NOUN_CHUNK,DATE
american robert mattielli,visited,mary alley,NORP,NOUN_CHUNK
yoon dong-han,purchased,rare 14th century goryeo buddhist painting water moon avalokitesvara,PERSON,NOUN_CHUNK
2014 photo,shows,camille pissarro 1897 impressionist masterpiece,DATE,NOUN_CHUNK
2014 photo,shows,camille pissarro 1897 impressionist masterpiece,DATE,NOUN_CHUNK
circuit court,takes up,issue,NOUN_CHUNK,NOUN_CHUNK
cassirer heirs,asked,spain's thyssen-bornemisza museum,NOUN_CHUNK,GPE
courtesy,commonsdavid,shankbone,NOUN_CHUNK,NOUN_CHUNK
anish,recommended,$13.5 million tribeca pad,NOUN_CHUNK,MONEY
baron hans heinrich thyssen bornemisza,bought,painting,NOUN_CHUNK,NOUN_CHUNK
detectives,mounted,raid,NOUN_CHUNK,NOUN_CHUNK
permission,found,haul,NOUN_CHUNK,NOUN_CHUNK
artists,accept,free ports,NOUN_CHUNK,NOUN_CHUNK
father,stuff like,bits,NOUN_CHUNK,NOUN_CHUNK
regime,make,arrangements,NOUN_CHUNK,NOUN_CHUNK
abdelrahman,face,up to 25 years,NOUN_CHUNK,DATE
relics,join,vast black market,NOUN_CHUNK,NOUN_CHUNK
amr al-azm,describes,market,PERSON,NOUN_CHUNK
local museum curators,covered,"museum nearly 2,000-square meter collection",NOUN_CHUNK,NOUN_CHUNK
educational scientific cultural organization unesco paris office,tells,syria,NOUN_CHUNK,GPE
idlib ruling coalition,prohibits,artifacts trade,NOUN_CHUNK,NOUN_CHUNK
islamic state,launched,attempted invasion,NOUN_CHUNK,NOUN_CHUNK
great institutions,viewed as,great institutions,NOUN_CHUNK,NOUN_CHUNK
police,recovered,two roman lead coffins,NOUN_CHUNK,CARDINAL
andy,recovered,one from an auction house in cirencester and another from a house near melton mowbray,NOUN_CHUNK,CARDINAL
sotheby catalogue cover,features,two icons,NOUN_CHUNK,CARDINAL
ivanov,withdrawn,contested lots,NOUN_CHUNK,NOUN_CHUNK
roxley foley friends,observed,events,NOUN_CHUNK,NOUN_CHUNK
fact,advertisement,striking point,NOUN_CHUNK,NOUN_CHUNK
tallahassee,weighed,"more than 15,000 pounds",NOUN_CHUNK,QUANTITY
agency,included in,exact price,NOUN_CHUNK,NOUN_CHUNK
emails,indicated,scope,NOUN_CHUNK,NOUN_CHUNK
office nurse,had,one of the most extreme reactions,NOUN_CHUNK,CARDINAL
gsa,noted,tests,ORG,NOUN_CHUNK
officials,launched,criminal investigation,NOUN_CHUNK,NOUN_CHUNK
martin,holds,academic appointments,NOUN_CHUNK,NOUN_CHUNK
bill,require,vote,NOUN_CHUNK,NOUN_CHUNK
congressman steve pearce,issued,following statement,NOUN_CHUNK,NOUN_CHUNK
congressman pearce,introduced,resolution,NOUN_CHUNK,NOUN_CHUNK
justice department,targeting,real estate,NOUN_CHUNK,NOUN_CHUNK
low assets,include,380 million stake,NOUN_CHUNK,NOUN_CHUNK
hakkasan chief executive officer neil moffitt,fighting,u.s,NOUN_CHUNK,GPE
tom montagliano montagliano,""" photo credit",giant,NOUN_CHUNK,NOUN_CHUNK
members,found,blue dog painting,NOUN_CHUNK,NOUN_CHUNK
print,shows,ali,NOUN_CHUNK,NOUN_CHUNK
nazis,stole,valuable belongings,NOUN_CHUNK,NOUN_CHUNK
art crimes expert robert k. wittman,published,new book,NOUN_CHUNK,NOUN_CHUNK
wittman,penned,wittman book,NOUN_CHUNK,NOUN_CHUNK
paintings,the hv/ac needed upgrades,conservation,NOUN_CHUNK,NOUN_CHUNK
collection,made for,philadelphia,NOUN_CHUNK,NOUN_CHUNK
wittman,valued,collection,ORG,NOUN_CHUNK
wittman,estimates,total global art market,NOUN_CHUNK,NOUN_CHUNK
art crimes,represent,roughly $6 billion,NOUN_CHUNK,MONEY
u.s sports markets,total,$26 billion,NOUN_CHUNK,MONEY
one of wittman's recent clients,bought,"300,000 worth",CARDINAL,NOUN_CHUNK
art dealer,resold,glass,NOUN_CHUNK,NOUN_CHUNK
house,approved,proposed law,NOUN_CHUNK,NOUN_CHUNK
armenians,tell,thing,NOUN_CHUNK,NOUN_CHUNK
laws,contemplate,situation,NOUN_CHUNK,NOUN_CHUNK
leon zinder,stole,works,NOUN_CHUNK,NOUN_CHUNK
december 2 - carabinieri art police,recovered,a second century marble head,DATE,DATE
31-centimeter head,estimated,value,NOUN_CHUNK,NOUN_CHUNK
dutch authorities,handed,a second century marble head,NOUN_CHUNK,DATE
geneva prosecutor office,confiscated,nine cultural artifacts,NOUN_CHUNK,CARDINAL
news,attracted,attention,NOUN_CHUNK,NOUN_CHUNK
workers,discovered,one partially buried body,NOUN_CHUNK,CARDINAL
lucrative black market,fueled,widespread theft,NOUN_CHUNK,NOUN_CHUNK
nawabs,ruled,riyasat,NOUN_CHUNK,NOUN_CHUNK
latest scion nawab ali,shifted,latest scion nawab ali loyalty,NOUN_CHUNK,NOUN_CHUNK
acrimony,makes,news,NOUN_CHUNK,NOUN_CHUNK
alton hoard,included,gold ring,NOUN_CHUNK,NOUN_CHUNK
peter beasley,found,ancient relics,PERSON,NOUN_CHUNK
discovery,followed,normal procedure,NOUN_CHUNK,NOUN_CHUNK
academics,bland,praise,NOUN_CHUNK,NOUN_CHUNK
finders,split,"¬£103,000 valuation",NOUN_CHUNK,NOUN_CHUNK
subsequent sales,exceeded,alton examples,NOUN_CHUNK,NOUN_CHUNK
beasley's informal appeal,produce,results,PERSON,NOUN_CHUNK
art institutions,returned,11 sculptures,NOUN_CHUNK,CARDINAL
political uncertainty,enabled,illicit access,NOUN_CHUNK,NOUN_CHUNK
result,presents,sandstone sculptures,NOUN_CHUNK,NOUN_CHUNK
jim sanborn,sanborn,fake sculptures,NOUN_CHUNK,NOUN_CHUNK
master craftsmen,copy,known sculptures,NOUN_CHUNK,NOUN_CHUNK
jim,sanborn,intentionally broken fake angkorian sculpture,NOUN_CHUNK,NOUN_CHUNK
group,defaced,ancient native american ruins,NOUN_CHUNK,NOUN_CHUNK
turkish government,claimed,ownership,NOUN_CHUNK,NOUN_CHUNK
advertising inread,told,stacey,NOUN_CHUNK,NOUN_CHUNK
officials,recovered,70 coins,NOUN_CHUNK,CARDINAL
officials,recovered,29 coins,NOUN_CHUNK,CARDINAL
john kerry,sign,landmark bilateral memorandum,PERSON,NOUN_CHUNK
u.s,has,bilateral agreements,GPE,NOUN_CHUNK
media representatives,attend,event,NOUN_CHUNK,NOUN_CHUNK
employer,present,official government photo identification card,NOUN_CHUNK,NOUN_CHUNK
abu dhabi conference,host,heads,NOUN_CHUNK,NOUN_CHUNK
demand,created,illicit trade,NOUN_CHUNK,NOUN_CHUNK
abdel,fattah,sisi,PERSON,NOUN_CHUNK
jewellery,wrecked,bedroom,NOUN_CHUNK,NOUN_CHUNK
draft,mention,value,NOUN_CHUNK,NOUN_CHUNK
united nations educational scientific cultural organization,oversee,safeguarding operations,NOUN_CHUNK,NOUN_CHUNK
hollande,visited,louvre abu dhabi,NOUN_CHUNK,NOUN_CHUNK
un cultural organisation unesco,condemned,damage,NOUN_CHUNK,NOUN_CHUNK
taliban militants,destroyed,huge buddhas,ORG,NOUN_CHUNK
curators,affixed,aerial photograph,NOUN_CHUNK,NOUN_CHUNK
wakils,based as,aleppo room,NOUN_CHUNK,NOUN_CHUNK
belfast,and museums,clusters,NOUN_CHUNK,NOUN_CHUNK
london,protect,london wren churches,NOUN_CHUNK,NOUN_CHUNK
sheen,attracts,first-time collectors,NOUN_CHUNK,ORDINAL
domestic trade,forbidden,special licence,NOUN_CHUNK,NOUN_CHUNK
central government,acquire,objects,NOUN_CHUNK,NOUN_CHUNK
infamous case,shone,spotlight,NOUN_CHUNK,NOUN_CHUNK
cataloguing process,permits,scholarship,NOUN_CHUNK,NOUN_CHUNK
kavita singh,identifies,perceptible decline,PERSON,NOUN_CHUNK
vijay kumar,reported in,picture,PERSON,NOUN_CHUNK
agnsw,launched,thorough investigation,NOUN_CHUNK,NOUN_CHUNK
steady stream,provided,local residents,NOUN_CHUNK,NOUN_CHUNK
al mahdi,ordered,attacks,PERSON,NOUN_CHUNK
icc,sentenced,al mahdi,NOUN_CHUNK,PERSON
al mahdi verdict,transcended,2012 mali conflict,NOUN_CHUNK,NOUN_CHUNK
al mahdi verdict,offered,hope,NOUN_CHUNK,NOUN_CHUNK
war,established,precedent,NOUN_CHUNK,NOUN_CHUNK
present day oppressors,see,distinction,NOUN_CHUNK,NOUN_CHUNK
helen,walasek,deputy director,NOUN_CHUNK,NOUN_CHUNK
indictment,prompted,jubilation,NOUN_CHUNK,NOUN_CHUNK
rome statute,gave,direct protection,NOUN_CHUNK,NOUN_CHUNK
maurice,mentioned,the 19th century artwork,NOUN_CHUNK,DATE
unclaimed mnr art,includes,works,NOUN_CHUNK,NOUN_CHUNK
genealogists searches,said,genealogists,NOUN_CHUNK,NOUN_CHUNK
art piece,has,dramatic story,NOUN_CHUNK,NOUN_CHUNK
arizona art museum,wants,painting,NOUN_CHUNK,NOUN_CHUNK
arizona art museum,puts on,frame,NOUN_CHUNK,NOUN_CHUNK
visitors,see,marks,NOUN_CHUNK,NOUN_CHUNK
treves,likened,responses,NOUN_CHUNK,NOUN_CHUNK
dutch treasure house,buying,dutch treasure house,NOUN_CHUNK,NOUN_CHUNK
writer,sees,lack,NOUN_CHUNK,NOUN_CHUNK
writer,executed,some three dozen self-portraits,NOUN_CHUNK,CARDINAL
corre,set,fire,NOUN_CHUNK,NOUN_CHUNK
dame vivienne,told,crowd,NOUN_CHUNK,NOUN_CHUNK
fire engines,attended,corre protest,NOUN_CHUNK,NOUN_CHUNK
london based art gallery,sold,painting,NOUN_CHUNK,NOUN_CHUNK
maurice,mentioned,the 19th century artwork,NOUN_CHUNK,DATE
genealogists searches,said,genealogists,NOUN_CHUNK,NOUN_CHUNK
listing,identifies,england special important buildings,NOUN_CHUNK,NOUN_CHUNK
austin artist chuck voelter,said,goodbye,PERSON,NOUN_CHUNK
artist,sold,american indian artist art,NOUN_CHUNK,NOUN_CHUNK
alleged copy,courtesy,instagram,NOUN_CHUNK,NOUN_CHUNK
alleged copy,courtesy,instagram,NOUN_CHUNK,NOUN_CHUNK
dispute,offers,compelling view,NOUN_CHUNK,NOUN_CHUNK
rybolovlev,accused,mr,NOUN_CHUNK,NOUN_CHUNK
rybolovlev family trust,paid,nearly $2 billion,NOUN_CHUNK,MONEY
rybolovlev,leveled,criminal charges,NOUN_CHUNK,NOUN_CHUNK
rybolovlev,questioned,sotheby's's role,NOUN_CHUNK,ORG
rybolovlev,took,issue,NOUN_CHUNK,NOUN_CHUNK
spokesman,declined,comment,NOUN_CHUNK,NOUN_CHUNK
meeting,took,place,NOUN_CHUNK,NOUN_CHUNK
nazi german government,stole,massive amounts,NOUN_CHUNK,NOUN_CHUNK
citizens,stolen,property,NOUN_CHUNK,NOUN_CHUNK
hear act,establishes,year federal statute,NOUN_CHUNK,NOUN_CHUNK
plainclothes officer,informed,activist mother,NOUN_CHUNK,NOUN_CHUNK
taylor,told,shanghai,NOUN_CHUNK,GPE
christie's,offering,bronze cast,ORG,NOUN_CHUNK
artist,made in,pose,NOUN_CHUNK,NOUN_CHUNK
hamilton success,led,hamilton,NOUN_CHUNK,NOUN_CHUNK
hamilton,poses with,desires,NOUN_CHUNK,NOUN_CHUNK
hamilton,poses with,desires,NOUN_CHUNK,NOUN_CHUNK
work,brought,hamilton accusations,NOUN_CHUNK,NOUN_CHUNK
highsmith,alleged,gross misuse,NOUN_CHUNK,NOUN_CHUNK
highsmith,claiming,damages,NOUN_CHUNK,NOUN_CHUNK
highsmith,donated,highsmith images,NOUN_CHUNK,NOUN_CHUNK
beth tonkinson,reported,thefts,NOUN_CHUNK,NOUN_CHUNK
police burglary detectives,seized,search warrant,NOUN_CHUNK,NOUN_CHUNK
detectives,seeking,information,NOUN_CHUNK,NOUN_CHUNK
geneva free port new boss,like,customs,NOUN_CHUNK,NOUN_CHUNK
librarians,afflicted with,deep appreciation,NOUN_CHUNK,NOUN_CHUNK
people,feared,bibliomania,NOUN_CHUNK,NOUN_CHUNK
story,explains,fern{\'a}ndez,NOUN_CHUNK,ORG
original woodcut,shows,vain book collector,NOUN_CHUNK,NOUN_CHUNK
original woodcut,shows,vain book collector,NOUN_CHUNK,NOUN_CHUNK
characters,have,uncanny resemblances,NOUN_CHUNK,NOUN_CHUNK
collecting,landed,sir phillipps family,NOUN_CHUNK,NOUN_CHUNK
contemporary scholars,linked,bibliomania,NOUN_CHUNK,NOUN_CHUNK
scotland,made,date,NOUN_CHUNK,NOUN_CHUNK
king edward,returned,stone,NOUN_CHUNK,NOUN_CHUNK
stone,began,stone long journey,NOUN_CHUNK,NOUN_CHUNK
police,find,heavy piece,NOUN_CHUNK,NOUN_CHUNK
authorities,repatriated,importer,NOUN_CHUNK,NOUN_CHUNK
mummy hand,returned,intricately painted ancient sarcophagi,NOUN_CHUNK,NOUN_CHUNK
operation,recovered,"about 7,000 artifacts",NOUN_CHUNK,CARDINAL
john kerry,signed,agreement,PERSON,NOUN_CHUNK
tomb raiders,featured in,history,NOUN_CHUNK,NOUN_CHUNK
antiquities dealer khouli,indicted in,up to 200 hours,NOUN_CHUNK,TIME
picture,images,ancient egyptian gilded mummy mask,NOUN_CHUNK,NOUN_CHUNK
u.s,has,two unilateral emergency import restrictions,NOUN_CHUNK,CARDINAL
egyptian ambassador yasser reda,thanked,department,NORP,NOUN_CHUNK
people,detected,diver,NOUN_CHUNK,NOUN_CHUNK
haggerty,haggerty's makeup artist brand,daily inquires,PERSON,DATE
wallberg,told,news agency,NOUN_CHUNK,NOUN_CHUNK
sweden's straw yule goat,has,sweden straw yule goat,GPE,NOUN_CHUNK
local municipality,spent,2.3 million kronor,NOUN_CHUNK,MONEY
defendant,left,cheap christmas decoration,NOUN_CHUNK,NOUN_CHUNK
apilats,denies,theft,NOUN_CHUNK,NOUN_CHUNK
chandannath temple,had,idols,NOUN_CHUNK,NOUN_CHUNK
